t,winds,SNII,tot_SNII,tot_winds,AGB,tot_AGB
10000.0,3.09223979894066e-08,0.0,0.0,0.0,0.0,0.0
41117.70707070709,3.543097977204194e-08,0.0,0.0,0.001032382486166363,0.0,0.0
72235.41414141418,3.616056230919078e-08,0.0,0.0,0.0021462648037783626,0.0,0.0
103353.12121212127,3.70012255762973e-08,0.0,0.0,0.003284578345873275,0.0,0.0
134470.82828282836,3.700122557629715e-08,0.0,0.0,0.004435971644613647,0.0,0.0
165588.53535353544,3.70012255762973e-08,0.0,0.0,0.005587364943354018,0.0,0.0
196706.24242424255,3.700122557629715e-08,0.0,0.0,0.006738758242094391,0.0,0.0
227823.94949494963,3.7001225576297226e-08,0.0,0.0,0.00789015154083476,0.0,0.0
258941.6565656567,3.7001225576297074e-08,0.0,0.0,0.00904154483957513,0.0,0.0
290059.3636363638,3.6644930298418316e-08,0.0,0.0,0.010187394592271644,0.0,0.0
321177.0707070709,3.472463110786837e-08,0.0,0.0,0.011297823145074479,0.0,0.0
352294.777777778,3.2097271997042975e-08,0.0,0.0,0.012337495348437382,0.0,0.0
383412.4848484851,2.9395055908115915e-08,0.0,0.0,0.013294245471861683,0.0,0.0
414530.19191919215,2.6744046677489538e-08,0.0,0.0,0.014167705546597305,0.0,0.0
445647.89898989926,2.4349422180190365e-08,0.0,0.0,0.014962661345167095,0.0,0.0
476765.6060606063,2.2255186428440104e-08,0.0,0.0,0.015687775624581252,0.0,0.0
507883.3131313134,2.0476511860992045e-08,0.0,0.0,0.016352631859583446,0.0,0.0
539001.0202020205,1.900916487033115e-08,0.0,0.0,0.016966983720590422,0.0,0.0
570118.7272727276,1.7769431867968803e-08,0.0,0.0,0.017539216520477463,0.0,0.0
601236.4343434346,1.6678487920017123e-08,0.0,0.0,0.01807518665905634,0.0,0.0
632354.1414141417,1.5726109533505925e-08,0.0,0.0,0.018579365044707797,0.0,0.0
663471.8484848489,1.4889266626526601e-08,0.0,0.0,0.0190557051983115,0.0,0.0
694589.555555556,1.4161518309910848e-08,0.0,0.0,0.019507702106224583,0.0,0.0
725707.2626262631,1.3489405068912476e-08,0.0,0.0,0.019937918773192977,0.0,0.0
756824.9696969702,1.2874514402401949e-08,0.0,0.0,0.020348111134865014,0.0,0.0
787942.6767676772,1.233544522928655e-08,0.0,0.0,0.02074034920440663,0.0,0.0
819060.3838383843,1.1843113939843244e-08,0.0,0.0,0.021116539865215,0.0,0.0
850178.0909090914,1.1417501959122728e-08,0.0,0.0,0.02147844838112913,0.0,0.0
881295.7979797985,1.1025620345383316e-08,0.0,0.0,0.021827637633940966,0.0,0.0
912413.5050505056,1.0666270535096605e-08,0.0,0.0,0.022165138587055225,0.0,0.0
943531.2121212126,1.035725603420652e-08,0.0,0.0,0.022492240557743626,0.0,0.0
974648.9191919197,1.0076740423617077e-08,0.0,0.0,0.022810170115772837,0.0,0.0
1005766.6262626268,9.729111236279964e-09,0.0,0.0,0.023118326460892114,0.0,0.0
1036884.333333334,9.38211111697806e-09,0.0,0.0,0.02341567517036803,0.0,0.0
1068002.040404041,9.054429970982027e-09,0.0,0.0,0.023702526612854127,0.0,0.0
1099119.7474747482,8.784855589246213e-09,0.0,0.0,0.023980085444061064,0.0,0.0
1130237.4545454553,8.54059495425964e-09,0.0,0.0,0.024249649591501485,0.0,0.0
1161355.1616161624,8.174858827789412e-09,0.0,0.0,0.02450972288867336,0.0,0.0
1192472.8686868693,7.82516363250681e-09,0.0,0.0,0.024758664894695474,0.0,0.0
1223590.5757575764,7.506258585552726e-09,0.0,0.0,0.024997204247474928,0.0,0.0
1254708.2828282835,7.234471828982144e-09,0.0,0.0,0.025226553112998807,0.0,0.0
1285825.9898989906,7.0441504366449325e-09,0.0,0.0,0.025448712105516337,0.0,0.0
1316943.6969696977,6.840574211971502e-09,0.0,0.0,0.025664742502702873,0.0,0.0
1348061.4040404048,6.678751236693782e-09,0.0,0.0,0.025875087707255433,0.0,0.0
1379179.111111112,6.555013585899326e-09,0.0,0.0,0.026080989915851473,0.0,0.0
1410296.818181819,6.350633952794556e-09,0.0,0.0,0.026281786995684907,0.0,0.0
1441414.5252525262,6.146942748108299e-09,0.0,0.0,0.0264762349611211,0.0,0.0
1472532.2323232333,5.865985072988105e-09,0.0,0.0,0.026663142345620314,0.0,0.0
1503649.9393939404,5.609720414986834e-09,0.0,0.0,0.02684169116652257,0.0,0.0
1534767.6464646473,5.50361994285523e-09,0.0,0.0,0.027014602001438768,0.0,0.0
1565885.3535353544,5.390745016820964e-09,0.0,0.0,0.02718410583020706,0.0,0.0
1597003.0606060615,5.1714674807063974e-09,0.0,0.0,0.02734844174746537,0.0,0.0
1628120.7676767686,4.954025220848956e-09,0.0,0.0,0.02750598280538216,0.0,0.0
