H,He,C,N,O,Ne,Mg,Si,Fe
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00017057534596689805,5.767761133919947e-05,8.80294227116558e-07,2.567524829089961e-07,2.090698789401825e-06,4.40147113558279e-07,2.567524829089961e-07,2.567524829089961e-07,4.768260396881356e-07
0.0003411506919337961,0.00011535522267839894,1.760588454233116e-06,5.135049658179922e-07,4.18139757880365e-06,8.80294227116558e-07,5.135049658179922e-07,5.135049658179922e-07,9.536520793762712e-07
0.000511726037900694,0.00017303283401759836,2.640882681349673e-06,7.70257448726988e-07,6.272096368205474e-06,1.3204413406748366e-06,7.70257448726988e-07,7.70257448726988e-07,1.4304781190644063e-06
0.000682301383867592,0.00023071044535679782,3.521176908466231e-06,1.027009931635984e-06,8.362795157607299e-06,1.7605884542331155e-06,1.027009931635984e-06,1.027009931635984e-06,1.9073041587525417e-06
0.0008528767298344901,0.00028838805669599733,4.401471135582789e-06,1.2837624145449803e-06,1.0453493947009125e-05,2.2007355677913946e-06,1.2837624145449803e-06,1.2837624145449803e-06,2.3841301984406776e-06
0.001023452075801388,0.0003460656680351967,5.281765362699346e-06,1.540514897453976e-06,1.2544192736410948e-05,2.640882681349673e-06,1.540514897453976e-06,1.540514897453976e-06,2.8609562381288126e-06
0.0011940274217682862,0.00040374327937439626,6.162059589815905e-06,1.7972673803629722e-06,1.4634891525812775e-05,3.0810297949079525e-06,1.7972673803629722e-06,1.7972673803629722e-06,3.3377822778169485e-06
0.001364602767735184,0.00046142089071359564,7.042353816932462e-06,2.054019863271968e-06,1.6725590315214598e-05,3.521176908466231e-06,2.054019863271968e-06,2.054019863271968e-06,3.8146083175050835e-06
0.0015351781137020817,0.000519098502052795,7.922648044049019e-06,2.3107723461809637e-06,1.881628910461642e-05,3.9613240220245095e-06,2.3107723461809637e-06,2.3107723461809637e-06,4.2914343571932185e-06
0.0017057534596689801,0.0005767761133919947,8.802942271165579e-06,2.5675248290899606e-06,2.090698789401825e-05,4.401471135582789e-06,2.5675248290899606e-06,2.5675248290899606e-06,4.768260396881355e-06
0.0018763288056358781,0.0006344537247311941,9.683236498282136e-06,2.8242773119989565e-06,2.2997686683420073e-05,4.841618249141068e-06,2.8242773119989565e-06,2.8242773119989565e-06,5.245086436569491e-06
0.0020469041516027763,0.0006921313360703935,1.0563530725398694e-05,3.0810297949079525e-06,2.50883854728219e-05,5.281765362699347e-06,3.0810297949079525e-06,3.0810297949079525e-06,5.721912476257626e-06
0.0022174794975696743,0.0007498089474095931,1.1443824952515254e-05,3.337782277816949e-06,2.717908426222373e-05,5.721912476257627e-06,3.337782277816949e-06,3.337782277816949e-06,6.198738515945763e-06
0.0023880548435365728,0.0008074865587487927,1.2324119179631813e-05,3.5945347607259453e-06,2.9269783051625556e-05,6.162059589815907e-06,3.5945347607259453e-06,3.5945347607259453e-06,6.675564555633899e-06
0.002558630189503471,0.0008651641700879923,1.3204413406748373e-05,3.851287243634942e-06,3.136048184102738e-05,6.6022067033741865e-06,3.851287243634942e-06,3.851287243634942e-06,7.152390595322035e-06
0.0027292055354703687,0.0009228417814271916,1.4084707633864929e-05,4.108039726543937e-06,3.345118063042921e-05,7.0423538169324646e-06,4.108039726543937e-06,4.108039726543937e-06,7.62921663501017e-06
0.0028997808814372667,0.000980519392766391,1.4965001860981487e-05,4.364792209452933e-06,3.554187941983103e-05,7.4825009304907435e-06,4.364792209452933e-06,4.364792209452933e-06,8.106042674698305e-06
0.0030703562274041643,0.0010381970041055903,1.584529608809804e-05,4.621544692361928e-06,3.763257820923285e-05,7.92264804404902e-06,4.621544692361928e-06,4.621544692361928e-06,8.582868714386439e-06
0.0032409315733710623,0.00109587461544479,1.6725590315214598e-05,4.878297175270924e-06,3.9723276998634674e-05,8.362795157607299e-06,4.878297175270924e-06,4.878297175270924e-06,9.059694754074575e-06
0.0034115069193379603,0.0011535522267839893,1.7605884542331157e-05,5.135049658179921e-06,4.18139757880365e-05,8.802942271165579e-06,5.135049658179921e-06,5.135049658179921e-06,9.53652079376271e-06
0.003582082265304858,0.0012112298381231886,1.848617876944771e-05,5.391802141088915e-06,4.3904674577438314e-05,9.243089384723855e-06,5.391802141088915e-06,5.391802141088915e-06,1.0013346833450844e-05
0.003752657611271756,0.001268907449462388,1.936647299656427e-05,5.648554623997912e-06,4.599537336684014e-05,9.683236498282135e-06,5.648554623997912e-06,5.648554623997912e-06,1.0490172873138979e-05
0.003923232957238653,0.0013265850608015874,2.0246767223680826e-05,5.905307106906908e-06,4.8086072156241966e-05,1.0123383611840413e-05,5.905307106906908e-06,5.905307106906908e-06,1.0966998912827115e-05
0.004093808303205551,0.0013842626721407866,2.1127061450797382e-05,6.162059589815903e-06,5.0176770945643786e-05,1.0563530725398691e-05,6.162059589815903e-06,6.162059589815903e-06,1.1443824952515249e-05
0.004264383649172449,0.001441940283479986,2.2007355677913938e-05,6.418812072724899e-06,5.2267469735045606e-05,1.1003677838956969e-05,6.418812072724899e-06,6.418812072724899e-06,1.1920650992203384e-05
0.004434958995139347,0.0014996178948191857,2.2887649905030498e-05,6.675564555633895e-06,5.435816852444743e-05,1.1443824952515249e-05,6.675564555633895e-06,6.675564555633895e-06,1.239747703189152e-05
0.004605534341106245,0.0015572955061583852,2.3767944132147054e-05,6.932317038542891e-06,5.644886731384926e-05,1.1883972066073527e-05,6.932317038542891e-06,6.932317038542891e-06,1.2874303071579656e-05
