He,H,C,N,O,Ne,Mg,Si,Fe
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.897841400075778e-06,1.9669725855505958e-05,4.8598077634154924e-08,6.424141970024555e-08,1.4878293773394812e-07,3.3395027628780106e-08,1.9480432783455063e-08,1.9480432783455063e-08,3.617794659784512e-08
1.5879455634866003e-05,3.951101776384431e-05,9.7403998827151e-08,1.295624468751322e-07,2.987016543753047e-07,6.709936979854549e-08,3.9141299049151534e-08,3.9141299049151534e-08,7.269098394842429e-08
2.3946017589583697e-05,5.9525066822180666e-05,1.4641475472491985e-07,1.9598295516162472e-07,4.497617391362345e-07,1.0111589263294456e-07,5.8984270702551e-08,5.8984270702551e-08,1.095422170190233e-07
3.209872800456842e-05,7.971306020818143e-05,1.9562720807280017e-07,2.635232034762211e-07,6.01968732534988e-07,1.3544748882820063e-07,7.90110351497837e-08,7.90110351497837e-08,1.4673477956388404e-07
4.0338814276754896e-05,0.00010007618058207224,2.4503808997735884e-07,3.3220384368395453e-07,7.553281238969861e-07,1.700970778996625e-07,9.92232954414698e-08,9.92232954414698e-08,1.842718343913011e-07
4.8667531289661706e-05,0.00012061560546206653,2.9464399659645497e-07,4.0204592842200555e-07,9.09845348791005e-07,2.0506760643064523e-07,1.196227704178764e-07,1.196227704178764e-07,2.2215657363319904e-07
5.70861622729563e-05,0.00014133250657212583,3.444413857560302e-07,4.730709190810595e-07,1.0655257863990069e-06,2.4036204832358187e-07,1.4021119485542276e-07,1.4021119485542276e-07,2.6039221901721374e-07
6.559601969269191e-05,0.00016222804916097357,3.9442657349207905e-07,5.453006939476094e-07,1.2223747568181358e-06,2.7598340505350795e-07,1.6099031961454634e-07,1.6099031961454634e-07,2.9898202214130037e-07
7.419844617335327e-05,0.00018330339129124398,4.445957305162186e-07,6.187575565104684e-07,1.3803975182933631e-06,3.1193470592390075e-07,1.819619117889421e-07,1.819619117889421e-07,3.379292647508925e-07
8.289481545289016e-05,0.00020455968309760424,4.949448786032459e-07,6.934642439348234e-07,1.539599264379233e-06,3.482190083248941e-07,2.0312775485618823e-07,2.0312775485618823e-07,3.772372590186353e-07
