time,H,He,C,N,O,Ne,Mg,Si,Fe
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41117.70707070709,0.0007627241807797089,0.0002490106556633267,2.4777179667992706e-06,7.22667740316454e-07,5.8845801711482694e-06,1.2388589833996353e-06,7.22667740316454e-07,7.22667740316454e-07,1.3420972320162719e-06
72235.41414141418,0.0015856604370314542,0.000517679070671341,5.15103552906807e-06,1.5023853626448539e-06,1.223370938153667e-05,2.575517764534035e-06,1.5023853626448539e-06,1.5023853626448539e-06,2.790144244911872e-06
103353.12121212127,0.0024266464819311757,0.000792240297024634,7.88298803009586e-06,2.2992048421112924e-06,1.8722096571477673e-05,3.94149401504793e-06,2.2992048421112924e-06,2.2992048421112924e-06,4.2699518496352585e-06
134470.82828282836,0.003277295851040562,0.0010699563606808116,1.064633194707275e-05,3.1051801512295527e-06,2.528503837429779e-05,5.323165973536375e-06,3.1051801512295527e-06,3.1051801512295527e-06,5.766763137997741e-06
165588.53535353544,0.004127945220149949,0.0013476724243369892,1.3409675864049642e-05,3.911155460347813e-06,3.184798017711791e-05,6.704837932024821e-06,3.911155460347813e-06,3.911155460347813e-06,7.263574426360225e-06
196706.24242424255,0.004978594589259336,0.001625388487993167,1.6173019781026537e-05,4.717130769466073e-06,3.8410921979938033e-05,8.086509890513269e-06,4.717130769466073e-06,4.717130769466073e-06,8.760385714722708e-06
227823.94949494963,0.005829243958368721,0.0019031045516493441,1.8936363698003422e-05,5.523106078584332e-06,4.497386378275814e-05,9.468181849001711e-06,5.523106078584332e-06,5.523106078584332e-06,1.025719700308519e-05
258941.6565656567,0.006679893327478106,0.0021808206153055214,2.169970761498031e-05,6.329081387702591e-06,5.153680558557825e-05,1.0849853807490155e-05,6.329081387702591e-06,6.329081387702591e-06,1.175400829144767e-05
290059.3636363638,0.007526447124770291,0.0024571995756559203,2.4449747021451942e-05,7.131176214590151e-06,5.806814917594838e-05,1.2224873510725971e-05,7.131176214590151e-06,7.131176214590151e-06,1.3243612969953138e-05
321177.0707070709,0.008346831739581026,0.0027250349425919644,2.7114775548178746e-05,7.908476201552135e-06,6.439759192692454e-05,1.3557387774089373e-05,7.908476201552135e-06,7.908476201552135e-06,1.4687170088596824e-05
352294.777777778,0.009114941563425539,0.0029758038780430965,2.9609988836249713e-05,8.636246743906167e-06,7.03237234860931e-05,1.4804994418124856e-05,8.636246743906167e-06,8.636246743906167e-06,1.6038743952968597e-05
383412.4848484851,0.009821788554611412,0.003206572007813038,3.190618913246804e-05,9.305971830303179e-06,7.577719918961161e-05,1.595309456623402e-05,9.305971830303179e-06,9.305971830303179e-06,1.728251911342019e-05
414530.19191919215,0.01046710085782609,0.00341725057783927,3.4002493311833525e-05,9.917393882618113e-06,8.075592161560466e-05,1.7001246655916763e-05,9.917393882618113e-06,9.917393882618113e-06,1.84180172105765e-05
445647.89898989926,0.01105441420180945,0.003608993916454303,3.5910387228401023e-05,1.0473862941616967e-05,8.528716966745246e-05,1.7955193614200512e-05,1.0473862941616967e-05,1.0473862941616967e-05,1.9451459748717226e-05
476765.6060606063,0.011590128631440629,0.003783891480648998,3.7650661498995005e-05,1.0981442937206877e-05,8.942032106011315e-05,1.8825330749497503e-05,1.0981442937206877e-05,1.0981442937206877e-05,2.039410831195563e-05
507883.3131313134,0.012081324417860249,0.003944254804531527,3.9246316463000265e-05,1.1446842301708411e-05,9.321000159962566e-05,1.9623158231500133e-05,1.1446842301708411e-05,1.1446842301708411e-05,2.125842141745848e-05
539001.0202020205,0.012535207572772204,0.00409243647340641,4.072076092941701e-05,1.1876888604413296e-05,9.671180720736542e-05,2.0360380464708503e-05,1.1876888604413296e-05,1.1876888604413296e-05,2.205707883676755e-05
570118.7272727276,0.01295797316532875,0.004230459024739164,4.2094119649145904e-05,1.2277451564334224e-05,9.997353416672156e-05,2.1047059824572952e-05,1.2277451564334224e-05,1.2277451564334224e-05,2.2800981476620705e-05
601236.4343434346,0.013353947903710825,0.004359735022164389,4.338044798173521e-05,1.2652630661339439e-05,0.00010302856395662117,2.1690223990867606e-05,1.2652630661339439e-05,1.2652630661339439e-05,2.3497742656773245e-05
632354.1414141417,0.01372643489503012,0.00448134284878352,4.459047610729871e-05,1.3005555531295458e-05,0.00010590238075483446,2.2295238053649356e-05,1.3005555531295458e-05,1.3005555531295458e-05,2.415317455812014e-05
