H,He,C,N,O,Ne,Mg,Si,Fe
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00017207478046708655,5.617817683901093e-05,5.589868342190142e-07,1.6303782664721249e-07,1.327593731270159e-06,2.794934171095071e-07,1.6303782664721249e-07,1.6303782664721249e-07,3.027845352019661e-07
0.0003441495609341731,0.00011235635367802187,1.1179736684380284e-06,3.2607565329442497e-07,2.655187462540318e-06,5.589868342190142e-07,3.2607565329442497e-07,3.2607565329442497e-07,6.055690704039322e-07
0.0005162243414012595,0.00016853453051703275,1.6769605026570423e-06,4.891134799416374e-07,3.982781193810477e-06,8.384802513285211e-07,4.891134799416374e-07,4.891134799416374e-07,9.08353605605898e-07
0.0006882991218683461,0.00022471270735604368,2.2359473368760564e-06,6.521513065888498e-07,5.310374925080635e-06,1.1179736684380282e-06,6.521513065888498e-07,6.521513065888498e-07,1.211138140807864e-06
0.0008603739023354327,0.00028089088419505463,2.7949341710950707e-06,8.151891332360624e-07,6.637968656350795e-06,1.3974670855475353e-06,8.151891332360624e-07,8.151891332360624e-07,1.5139226760098304e-06
0.001032448682802519,0.0003370690610340655,3.3539210053140845e-06,9.782269598832748e-07,7.965562387620954e-06,1.6769605026570423e-06,9.782269598832748e-07,9.782269598832748e-07,1.816707211211796e-06
0.0012045234632696057,0.0003932472378730765,3.912907839533099e-06,1.1412647865304874e-06,9.293156118891112e-06,1.9564539197665496e-06,1.1412647865304874e-06,1.1412647865304874e-06,2.1194917464137626e-06
0.0013765982437366922,0.00044942541471208736,4.471894673752113e-06,1.3043026131776997e-06,1.062074985016127e-05,2.2359473368760564e-06,1.3043026131776997e-06,1.3043026131776997e-06,2.422276281615728e-06
0.0015486730242037785,0.0005056035915510982,5.030881507971126e-06,1.467340439824912e-06,1.1948343581431428e-05,2.515440753985563e-06,1.467340439824912e-06,1.467340439824912e-06,2.725060816817694e-06
0.0017207478046708654,0.0005617817683901093,5.589868342190141e-06,1.6303782664721248e-06,1.327593731270159e-05,2.7949341710950707e-06,1.6303782664721248e-06,1.6303782664721248e-06,3.0278453520196607e-06
0.001892822585137952,0.0006179599452291202,6.148855176409156e-06,1.7934160931193373e-06,1.4603531043971748e-05,3.074427588204578e-06,1.7934160931193373e-06,1.7934160931193373e-06,3.3306298872216266e-06
0.0020648973656050384,0.0006741381220681311,6.70784201062817e-06,1.9564539197665496e-06,1.5931124775241907e-05,3.353921005314085e-06,1.9564539197665496e-06,1.9564539197665496e-06,3.633414422423593e-06
0.0022369721460721256,0.0007303162989071422,7.266828844847185e-06,2.1194917464137626e-06,1.725871850651207e-05,3.6334144224235925e-06,2.1194917464137626e-06,2.1194917464137626e-06,3.936198957625559e-06
0.0024090469265392123,0.0007864944757461532,7.8258156790662e-06,2.282529573060975e-06,1.858631223778223e-05,3.9129078395331e-06,2.282529573060975e-06,2.282529573060975e-06,4.238983492827526e-06
0.002581121707006299,0.0008426726525851642,8.384802513285215e-06,2.445567399708188e-06,1.9913905969052393e-05,4.192401256642608e-06,2.445567399708188e-06,2.445567399708188e-06,4.541768028029493e-06
0.0027531964874733853,0.000898850829424175,8.943789347504229e-06,2.6086052263554e-06,2.124149970032255e-05,4.471894673752114e-06,2.6086052263554e-06,2.6086052263554e-06,4.844552563231458e-06
0.002925271267940472,0.000955029006263186,9.502776181723242e-06,2.7716430530026127e-06,2.2569093431592707e-05,4.751388090861621e-06,2.7716430530026127e-06,2.7716430530026127e-06,5.147337098433425e-06
0.003097346048407558,0.0010112071831021967,1.0061763015942256e-05,2.9346808796498244e-06,2.3896687162862862e-05,5.030881507971128e-06,2.9346808796498244e-06,2.9346808796498244e-06,5.45012163363539e-06
0.003269420828874644,0.0010673853599412076,1.0620749850161269e-05,3.097718706297037e-06,2.522428089413302e-05,5.3103749250806346e-06,3.097718706297037e-06,3.097718706297037e-06,5.7529061688373555e-06
0.003441495609341731,0.0011235635367802185,1.1179736684380283e-05,3.2607565329442495e-06,2.655187462540318e-05,5.589868342190141e-06,3.2607565329442495e-06,3.2607565329442495e-06,6.0556907040393214e-06
0.0036135703898088167,0.0011797417136192292,1.1738723518599296e-05,3.423794359591461e-06,2.7879468356673335e-05,5.869361759299648e-06,3.423794359591461e-06,3.423794359591461e-06,6.3584752392412865e-06
0.0037856451702759034,0.0012359198904582402,1.229771035281831e-05,3.5868321862386737e-06,2.9207062087943494e-05,6.148855176409155e-06,3.5868321862386737e-06,3.5868321862386737e-06,6.661259774443252e-06
0.00395771995074299,0.001292098067297251,1.2856697187037323e-05,3.7498700128858863e-06,3.053465581921365e-05,6.4283485935186615e-06,3.7498700128858863e-06,3.7498700128858863e-06,6.964044309645218e-06
0.004129794731210076,0.0013482762441362618,1.3415684021256336e-05,3.912907839533098e-06,3.186224955048381e-05,6.707842010628168e-06,3.912907839533098e-06,3.912907839533098e-06,7.266828844847183e-06
0.004301869511677162,0.0014044544209752727,1.397467085547535e-05,4.075945666180311e-06,3.3189843281753966e-05,6.987335427737675e-06,4.075945666180311e-06,4.075945666180311e-06,7.569613380049149e-06
0.0044739442921442486,0.0014606325978142837,1.4533657689694363e-05,4.2389834928275235e-06,3.4517437013024125e-05,7.266828844847182e-06,4.2389834928275235e-06,4.2389834928275235e-06,7.872397915251115e-06
0.004646019072611336,0.0015168107746532946,1.5092644523913378e-05,4.402021319474736e-06,3.584503074429428e-05,7.546322261956689e-06,4.402021319474736e-06,4.402021319474736e-06,8.175182450453082e-06
0.004818093853078421,0.0015729889514923053,1.565163135813239e-05,4.565059146121948e-06,3.7172624475564435e-05,7.825815679066195e-06,4.565059146121948e-06,4.565059146121948e-06,8.477966985655047e-06
0.0049926257364421404,0.001629969311897461,1.6218600118382694e-05,4.7304250345282864e-06,3.851917528115891e-05,8.109300059191347e-06,4.7304250345282864e-06,4.7304250345282864e-06,8.785075064123962e-06
0.005174612830666388,0.0016893836149928707,1.6809787213859408e-05,4.902854604042328e-06,3.992324463291611e-05,8.404893606929704e-06,4.902854604042328e-06,4.902854604042328e-06,9.105301407507182e-06
0.005366717345935876,0.0017521010068215122,1.7433840863895644e-05,5.084870251969563e-06,4.1405372051752166e-05,8.716920431947822e-06,5.084870251969563e-06,5.084870251969563e-06,9.443330467943476e-06
0.005569180955173411,0.0018182003876391806,1.8091546145663487e-05,5.276700959151851e-06,4.296742209595079e-05,9.045773072831744e-06,5.276700959151851e-06,5.276700959151851e-06,9.799587495567725e-06
0.005782243882249678,0.0018877601846218495,1.8783683429073126e-05,5.478574333479662e-06,4.461124814404869e-05,9.391841714536563e-06,5.478574333479662e-06,5.478574333479662e-06,1.0174495190747946e-05
0.0060061449515497215,0.0019608583680479057,1.9511028537790105e-05,5.690716656855448e-06,4.6338692777251516e-05,9.755514268895053e-06,5.690716656855448e-06,5.690716656855448e-06,1.0568473791302977e-05
0.006241121634521831,0.0020375724664952162,2.027435290044991e-05,5.913352929297891e-06,4.8151588138568555e-05,1.0137176450224955e-05,5.913352929297891e-06,5.913352929297891e-06,1.098194115441037e-05
0.006487410093468785,0.002117979581137887,2.1074423692914295e-05,6.146706910433337e-06,5.0051756270671466e-05,1.0537211846457148e-05,6.146706910433337e-06,6.146706910433337e-06,1.1415312833661914e-05
0.006745245222812742,0.0022021563992182364,2.191200397232076e-05,6.3910011585935554e-06,5.204100943426182e-05,1.095600198616038e-05,6.3910011585935554e-06,6.3910011585935554e-06,1.1869002151673748e-05
0.007014860688040273,0.0022901792067613887,2.2787852803595903e-05,6.646457067715473e-06,5.412115040854028e-05,1.1393926401797951e-05,6.646457067715473e-06,6.646457067715473e-06,1.234342026861445e-05
0.007296488962512472,0.0023821239005928645,2.3702725379033476e-05,6.913294902218097e-06,5.629397277520452e-05,1.1851362689516738e-05,6.913294902218097e-06,6.913294902218097e-06,1.2838976246976469e-05
0.007590361362306119,0.0024780659997133674,2.465737313147629e-05,7.191733830013919e-06,5.85612611872562e-05,1.2328686565738145e-05,7.191733830013919e-06,7.191733830013919e-06,1.3356077112882993e-05
0.007896708079235414,0.002578080656079564,2.5652543841587697e-05,7.481991953796412e-06,6.0924791623770795e-05,1.2826271920793849e-05,7.481991953796412e-06,7.481991953796412e-06,1.3895127914193338e-05
0.008215758212189218,0.0026822426648349202,2.6688981739650945e-05,7.784286340731527e-06,6.338633163167101e-05,1.3344490869825472e-05,7.784286340731527e-06,7.784286340731527e-06,1.4456531775644264e-05
0.008547739796905884,0.002790626474030454,2.776742760229307e-05,8.098833050668813e-06,6.594764055544606e-05,1.3883713801146534e-05,8.098833050668813e-06,8.098833050668813e-06,1.5040689951242082e-05
0.008892879834296426,0.0029033061938715456,2.8888618844492986e-05,8.425847162977122e-06,6.861046975567087e-05,1.4444309422246493e-05,8.425847162977122e-06,8.425847162977122e-06,1.5648001874100372e-05
0.009251404317416697,0.0030203556055236965,3.0053289607200958e-05,8.76554280210028e-06,7.137656281710229e-05,1.5026644803600479e-05,8.76554280210028e-06,8.76554280210028e-06,1.6278865203900524e-05
0.009623538257180273,0.0031418481695071492,3.1262170840867155e-05,9.118133161919588e-06,7.424765574705951e-05,1.5631085420433578e-05,9.118133161919588e-06,9.118133161919588e-06,1.693367587213638e-05
0.010009505706895749,0.003267857033707708,3.251599038515132e-05,9.483830529002468e-06,7.722547716473441e-05,1.625799519257566e-05,9.483830529002468e-06,9.483830529002468e-06,1.7612828125290303e-05
0.010409529785704962,0.0033984550410287445,3.3815473045062134e-05,9.862846304809789e-06,8.031174848202259e-05,1.6907736522531067e-05,9.862846304809789e-06,9.862846304809789e-06,1.8316714566075326e-05
0.010823832700992344,0.0035337147367073,3.516134066375422e-05,1.0255391026928316e-05,8.350818407641631e-05,1.758067033187711e-05,1.0255391026928316e-05,1.0255391026928316e-05,1.9045726192866875e-05
0.011252635769829707,0.0036737083753152753,3.655431219219179e-05,1.0661674389389274e-05,8.681649145645553e-05,1.8277156096095896e-05,1.0661674389389274e-05,1.0661674389389274e-05,1.9800252437437226e-05
0.011696159439515725,0.003818507927465069,3.799510375587133e-05,1.1081905262129138e-05,9.023837142019443e-05,1.8997551877935665e-05,1.1081905262129138e-05,1.1081905262129138e-05,2.0580681201096974e-05
0.012154623307264564,0.0039681850862374295,3.948442871878039e-05,1.1516291709644282e-05,9.377551820710345e-05,1.9742214359390195e-05,1.1516291709644282e-05,1.1516291709644282e-05,2.1387398889339382e-05
0.012628246139094022,0.004122811273347967,4.102299774475589e-05,1.1965041008887134e-05,9.742961964379526e-05,2.0511498872377945e-05,1.1965041008887134e-05,1.1965041008887134e-05,2.222079044507611e-05
0.013117245887959563,0.00428245764506747,4.261151885639273e-05,1.2428359666447882e-05,0.00010120235728393277,2.1305759428196364e-05,1.2428359666447882e-05,1.2428359666447882e-05,2.3081239380546067e-05
