t,He,O,C,N
1.0,0.0,0.0,0.0,0.0
1.0092528860766845,0.0,0.0,0.0,0.0
1.0185913880541169,7.897841400075778e-06,1.4878293773394812e-07,4.8598077634154924e-08,6.424141970024555e-08
1.0280162981264735,1.5879455634866003e-05,2.987016543753047e-07,9.7403998827151e-08,1.295624468751322e-07
1.0375284158180127,2.3946017589583697e-05,4.497617391362345e-07,1.4641475472491985e-07,1.9598295516162472e-07
1.0471285480508996,3.209872800456842e-05,6.01968732534988e-07,1.9562720807280017e-07,2.635232034762211e-07
1.0568175092136585,4.0338814276754896e-05,7.553281238969861e-07,2.4503808997735884e-07,3.3220384368395453e-07
1.066596121230258,4.8667531289661706e-05,9.09845348791005e-07,2.9464399659645497e-07,4.0204592842200555e-07
1.076465213629835,5.70861622729563e-05,1.0655257863990069e-06,3.444413857560302e-07,4.730709190810595e-07
1.0864256236170655,6.559601969269191e-05,1.2223747568181358e-06,3.9442657349207905e-07,5.453006939476094e-07
1.096478196143185,7.419844617335327e-05,1.3803975182933631e-06,4.445957305162186e-07,6.187575565104684e-07
1.1066237839776663,8.289481545289016e-05,1.539599264379233e-06,4.949448786032459e-07,6.934642439348234e-07
1.1168632477805611,9.168653337196235e-05,1.6999851210291313e-06,5.454698868990369e-07,7.694439357072292e-07
1.1271974561755105,0.00010057503889866508,1.8615601436104645e-06,5.961664681471075e-07,8.467202624550105e-07
1.1376272858234309,0.00010956180519005171,2.0243293138440977e-06,6.470301748321236e-07,9.253173149436095e-07
1.1481536214968828,0.00011864834069181958,2.188297536666375e-06,6.980563952386058e-07,1.005259653255492e-06
1.158777356155126,0.00012783619027757615,2.3534696370120015e-06,7.492403494230491e-07,1.0865723161542945e-06
1.169499391019871,0.0001371269364291558,2.5198503565160295e-06,8.005770850976281e-07,1.1692808306379722e-06
1.1803206356517297,0.0001465222004595121,2.687444350133164e-06,8.520614734236311e-07,1.2534112216847798e-06
1.191242008027375,0.00015602364377976873,2.856256182672557e-06,9.036882047127222e-07,1.3389900221960064e-06
1.202264434617413,0.00016563296921206927,3.0262903252462173e-06,9.554517840340922e-07,1.4260442831394496e-06
1.2133888504649772,0.00017535192234993096,3.197551151629135e-06,1.0073465267255206e-06,1.5146015838977063e-06
1.2246161992650486,0.00018518229296786708,3.370042934529174e-06,1.0593665538063284e-06,1.6046900428254395e-06
1.2359474334445104,0.0001951259164821131,3.543769841764736e-06,1.1115057872901617e-06,1.69633832801986e-06
1.247383514242943,0.0002051846754643568,3.7187359323481775e-06,1.1637579453954979e-06,1.7895756683087533e-06
1.2589254117941673,0.00021536050121044644,3.894945152472891e-06,1.2161165376517335e-06,1.8844318644604667e-06
1.2705741052085417,0.00022565537536612288,4.072401331401956e-06,1.2685748598986568e-06,1.9809373006203607e-06
1.2823305826560216,0.00023607133161190072,4.251108177256172e-06,1.321125989177068e-06,2.0791229559783316e-06
1.2941958414499861,0.00024661045740929986,4.431069272699288e-06,1.3737627785082672e-06,2.179020416672083e-06
1.3061708881318415,0.0002572748958107148,4.612288070518165e-06,1.4264778515600762e-06,2.2806618879309442e-06
1.318256738556407,0.00026806684733529234,4.794767889095571e-06,1.4792635971970158e-06,2.3840802064651153e-06
1.330454417978091,0.0002789885719132775,4.9785119077732665e-06,1.5321121639122143e-06,2.489308853105325e-06
1.3427649611378638,0.0002900423909013819,5.1635231621029684e-06,1.5850154541385617e-06,2.596381965697981e-06
1.355189412351036,0.00030123068917182056,5.3498045389827574e-06,1.6379651184365897e-06,2.7053343522610097e-06
1.367728825595849,0.00031255591727776574,5.537358771676428e-06,1.690952549556488e-06,2.8162015044056714e-06
1.3803842646028848,0.0003240205936980689,5.726188434713204e-06,1.743968876371627e-06,2.9290196110297613e-06
1.3931568029453032,0.00033562730716420603,5.916295938665255e-06,1.7970049576808963e-06,3.043825572287701e-06
1.406047524129914,0.00034737871907251656,6.107683524800314e-06,1.8500513758771138e-06,3.1606570138431475e-06
1.4190575216890922,0.00035927756598491776,6.3003532596067016e-06,1.9030984304787041e-06,3.279552301409859e-06
1.4321878992735435,0.00037132666222139724,6.49430702918797e-06,1.956136131521789e-06,3.4005505555866758e-06
1.4454397707459274,0.00038352890254771056,6.689546533524352e-06,2.009154192809768e-06,3.523691666992584e-06
1.4588142602753484,0.000395887264961838,6.8860732805980955e-06,2.0621420250174175e-06,3.649016311707963e-06
1.4723125024327188,0.0004084048135828888,7.083888580379763e-06,2.115088728646457e-06,3.776565967028238e-06
1.485935642287007,0.00042108470164627896,7.282993538672454e-06,2.1679830868294927e-06,3.906382927536283e-06
1.4996848355023735,0.0004339301746091528,7.483389050810901e-06,2.220813557979164e-06,4.0385103215000485e-06
1.5135612484362082,0.0004469445733701673,7.685075795212261e-06,2.273568268279263e-06,4.1729921276020274e-06
1.5275660582380726,0.0004601313376079117,7.888054226775444e-06,2.3262350040145272e-06,4.3098731920072965e-06
1.5417004529495595,0.00047349400924239567,8.092324570125643e-06,2.3788012037357415e-06,4.4491992457770174e-06
1.5559656316050745,0.00048703623602420635,8.297886812700797e-06,2.4312539502567102e-06,4.591016922634413e-06
1.5703628043335525,0.0005007617752561067,8.504740697676488e-06,2.4835799624795924e-06,4.735373777090389e-06
1.5848931924611136,0.0005146744976520251,8.712885716725873e-06,2.535765587045024e-06,4.882318302936101e-06
1.599558028614669,0.0005287783913385748,8.922321102611032e-06,2.5877967898033685e-06,5.0318999521099295e-06
